t,h
-0.699951171875,-1.7777227035991024e-24
-0.69989013671875,-1.7763474715634465e-24
-0.6998291015625,-1.7747495204492022e-24
-0.69976806640625,-1.7729285905990284e-24
-0.69970703125,-1.770884702089214e-24
-0.69964599609375,-1.7686181645077492e-24
-0.6995849609375,-1.7661295722874844e-24
-0.69952392578125,-1.763419785855774e-24
-0.699462890625,-1.7604898996394538e-24
-0.69940185546875,-1.7573411986915534e-24
-0.6993408203125,-1.7539751063286864e-24
-0.69927978515625,-1.750393125667607e-24
-0.69921875,-1.7465967782809405e-24
-0.69915771484375,-1.7425875433558563e-24
-0.6990966796875,-1.7383668007068574e-24
-0.69903564453125,-1.7339357807864347e-24
-0.698974609375,-1.729295524448163e-24
-0.69891357421875,-1.7244468546828553e-24
-0.6988525390625,-1.7193903618858688e-24
-0.69879150390625,-1.714126403471637e-24
-0.69873046875,-1.708655117857061e-24
-0.69866943359375,-1.702976452047357e-24
-0.6986083984375,-1.697090201304396e-24
-0.69854736328125,-1.6909960587146916e-24
-0.698486328125,-1.68469367192477e-24
-0.69842529296875,-1.678182703918475e-24
-0.6983642578125,-1.6714628944842995e-24
-0.69830322265625,-1.6645341189837255e-24
-0.6982421875,-1.6573964411773805e-24
-0.69818115234375,-1.6500501571920168e-24
-0.6981201171875,-1.6424958281978643e-24
-0.69805908203125,-1.634734299986832e-24
-0.697998046875,-1.6267667083613873e-24
-0.69793701171875,-1.6185944700253184e-24
-0.6978759765625,-1.6102192594644778e-24
-0.69781494140625,-1.6016429730769066e-24
-0.69775390625,-1.5928676825132341e-24
-0.69769287109375,-1.5838955797826463e-24
-0.6976318359375,-1.574728917132074e-24
-0.69757080078125,-1.5653699449955178e-24
-0.697509765625,-1.5558208514152761e-24
-0.69744873046875,-1.5460837062577559e-24
-0.6973876953125,-1.5361604132808144e-24
-0.69732666015625,-1.5260526726800362e-24
-0.697265625,-1.515761956161457e-24
-0.69720458984375,-1.5052894959019909e-24
-0.6971435546875,-1.4946362879915074e-24
-0.69708251953125,-1.4838031101552101e-24
-0.697021484375,-1.4727905527667452e-24
-0.69696044921875,-1.4615990614329643e-24
-0.6968994140625,-1.450228988790552e-24
-0.69683837890625,-1.438680652651281e-24
