t,h
-0.699951171875,-3.6687262702370057e-23
-0.69989013671875,-3.0494435187306326e-23
-0.6998291015625,-2.4204919763062713e-23
-0.69976806640625,-1.7817196236581477e-23
-0.69970703125,-1.1377718087098145e-23
-0.69964599609375,-4.88550191410661e-24
-0.6995849609375,1.6126148294753172e-24
-0.69952392578125,8.117402434272441e-24
-0.699462890625,1.4581965372924638e-23
-0.69940185546875,2.1007187787243706e-23
-0.6993408203125,2.734644296257081e-23
-0.69927978515625,3.360105452101657e-23
-0.69921875,3.9724987776977355e-23
-0.69915771484375,4.572032551645296e-23
-0.6990966796875,5.154194005897594e-23
-0.69903564453125,5.719298252739076e-23
-0.698974609375,6.262953452158013e-23
-0.69891357421875,6.785610977700667e-23
-0.6988525390625,7.283028442411363e-23
-0.69879150390625,7.755821002418089e-23
-0.69873046875,8.199922140183568e-23
-0.69866943359375,8.616136015426059e-23
-0.6986083984375,9.000595913744005e-23
-0.69854736328125,9.354317558363e-23
-0.698486328125,9.673655146249528e-23
-0.69842529296875,9.959855543372989e-23
-0.6983642578125,1.0209511837101283e-22
-0.69830322265625,1.0424118353969661e-22
-0.6982421875,1.0600521666118922e-22
-0.69818115234375,1.0740476380412981e-22
-0.6981201171875,1.084109355417481e-22
-0.69805908203125,1.0904397213098422e-22
-0.697998046875,1.0927770144411621e-22
-0.69793701171875,1.09135111187022e-22
-0.6978759765625,1.0859278037125592e-22
-0.69781494140625,1.0767645847733724e-22
-0.69775390625,1.0636547040063353e-22
-0.69769287109375,1.0468830255119478e-22
-0.6976318359375,1.0262698138083653e-22
-0.69757080078125,1.0021266656098496e-22
-0.697509765625,9.743000328830478e-23
-0.69744873046875,9.431272286570841e-23
-0.6973876953125,9.084796910979475e-23
-0.69732666015625,8.707190675751628e-23
-0.697265625,8.297402248226096e-23
-0.69720458984375,7.859274164767535e-23
-0.6971435546875,7.391970454358856e-23
-0.69708251953125,6.899539217948854e-23
-0.697021484375,6.381337842372935e-23
-0.69696044921875,5.84159656396811e-23
-0.6968994140625,5.2798413559289276e-23
-0.69683837890625,4.7004585611970146e-23
-0.69677734375,4.10311554758124e-23
-0.69671630859375,3.4923265064627504e-23
-0.6966552734375,2.8678709727432944e-23
-0.69659423828125,2.2343608968448894e-23
-0.696533203125,1.5916571340748228e-23
-0.69647216796875,9.44437898497283e-24
-0.6964111328125,2.926133362730356e-24
-0.69635009765625,-3.591045267138178e-24
-0.6962890625,-1.0107890130511074e-23
-0.69622802734375,-1.657727232532615e-23
-0.6961669921875,-2.3000089984396727e-23
-0.69610595703125,-2.932953533523639e-23
-0.696044921875,-3.556699955573986e-23
-0.69598388671875,-4.166632136568929e-23
-0.6959228515625,-4.762970640084871e-23
