t,h
-0.699951171875,-5.025362386217711e-25
-0.69989013671875,-4.993772522102547e-25
-0.6998291015625,-4.9615761502212105e-25
-0.69976806640625,-4.928773867714465e-25
-0.69970703125,-4.89536673052705e-25
-0.69964599609375,-4.861356458554869e-25
-0.6995849609375,-4.826745606100456e-25
-0.69952392578125,-4.791537687541065e-25
-0.699462890625,-4.755737250765907e-25
-0.69940185546875,-4.71934989401889e-25
-0.6993408203125,-4.682382225124518e-25
-0.69927978515625,-4.644841765477144e-25
-0.69921875,-4.606736804439914e-25
-0.69915771484375,-4.568076212721681e-25
-0.6990966796875,-4.528869225731916e-25
-0.69903564453125,-4.489125209679704e-25
-0.698974609375,-4.44885342420494e-25
-0.69891357421875,-4.408062795538189e-25
-0.6988525390625,-4.366761713555431e-25
-0.69879150390625,-4.324957864687558e-25
-0.69873046875,-4.282658110525131e-25
-0.69866943359375,-4.23986841925178e-25
-0.6986083984375,-4.196593853922781e-25
-0.69854736328125,-4.15283861824135e-25
-0.698486328125,-4.1086061570848005e-25
-0.69842529296875,-4.0638993057941417e-25
-0.6983642578125,-4.018720479356627e-25
-0.69830322265625,-3.9730718902485214e-25
-0.6982421875,-3.926955782009153e-25
-0.69818115234375,-3.8803746646764753e-25
-0.6981201171875,-3.833331538112728e-25
-0.69805908203125,-3.785830089944354e-25
-0.697998046875,-3.73787485634917e-25
-0.69793701171875,-3.689471336106944e-25
-0.6978759765625,-3.640626051092887e-25
-0.69781494140625,-3.5913465495536825e-25
-0.69775390625,-3.5416413518853367e-25
-0.69769287109375,-3.4915198420282766e-25
-0.6976318359375,-3.4409921108120787e-25
-0.69757080078125,-3.390068760414866e-25
-0.697509765625,-3.3387606814107196e-25
-0.69744873046875,-3.2870788154928255e-25
-0.6973876953125,-3.235033917815598e-25
-0.69732666015625,-3.1826363329152285e-25
-0.697265625,-3.129895797383311e-25
-0.69720458984375,-3.07682128087369e-25
-0.6971435546875,-3.0234208747778266e-25
-0.69708251953125,-2.9697017350736753e-25
-0.697021484375,-2.9156700826702553e-25
-0.69696044921875,-2.861331261162699e-25
-0.6968994140625,-2.806689848528686e-25
-0.69683837890625,-2.7517498161097635e-25
-0.69677734375,-2.69651472542678e-25
-0.69671630859375,-2.6409879511429876e-25
-0.6966552734375,-2.5851729169493084e-25
-0.69659423828125,-2.5290733303692017e-25
-0.696533203125,-2.472693402562539e-25
-0.69647216796875,-2.4160380400774586e-25
-0.6964111328125,-2.359112997164624e-25
-0.69635009765625,-2.3019249796007263e-25
-0.6962890625,-2.244481693825416e-25
-0.69622802734375,-2.186791838436019e-25
-0.6961669921875,-2.1288650384911183e-25
-0.69610595703125,-2.0707117264441466e-25
-0.696044921875,-2.0123429767049795e-25
-0.69598388671875,-1.9537703035455357e-25
-0.6959228515625,-1.8950054342546527e-25
-0.69586181640625,-1.8360600708997127e-25
-0.69580078125,-1.7769456547381274e-25
-0.69573974609375,-1.7176731471569637e-25
-0.6956787109375,-1.6582528400603112e-25
-0.69561767578125,-1.5986942068694446e-25
-0.695556640625,-1.5390058029182958e-25
-0.69549560546875,-1.4791952210941373e-25
-0.6954345703125,-1.4192691053262629e-25
-0.69537353515625,-1.3592332210889302e-25
-0.6953125,-1.2990925787303205e-25
-0.69525146484375,-1.238851602303295e-25
-0.6951904296875,-1.1785143338942625e-25
-0.69512939453125,-1.1180846613331862e-25
-0.695068359375,-1.0575665557937626e-25
-0.69500732421875,-9.969643051934885e-26
-0.6949462890625,-9.362827295587253e-26
-0.69488525390625,-8.75527365567689e-26
-0.69482421875,-8.147046093142804e-26
-0.69476318359375,-7.538218087885974e-26
-0.6947021484375,-6.928873005460872e-26
-0.69464111328125,-6.319103883263993e-26
-0.694580078125,-5.709012648127358e-26
-0.69451904296875,-5.0987088107898596e-26
-0.6944580078125,-4.4883077136283935e-26
-0.69439697265625,-3.877928434388159e-26
-0.6943359375,-3.2676914690275653e-26
-0.69427490234375,-2.657716329766358e-26
-0.6942138671875,-2.0481191995287903e-26
-0.69415283203125,-1.4390107805628134e-26
-0.694091796875,-8.304944636129443e-27
-0.69403076171875,-2.2266492505256534e-27
-0.6939697265625,3.8439276590328794e-27
-0.69390869140625,9.906034778890249e-27
-0.69384765625,1.5959017672208951e-26
-0.69378662109375,2.2002310624342314e-26
-0.6937255859375,2.803542332439856e-26
-0.69366455078125,3.4057923178666144e-26
-0.693603515625,4.006941430808532e-26
-0.69354248046875,4.606951447999875e-26
-0.6934814453125,5.205783134483047e-26
-0.69342041015625,5.803393939105957e-26
-0.693359375,6.399735898861745e-26
-0.69329833984375,6.994753876817161e-26
-0.6932373046875,7.588384238616277e-26
-0.69317626953125,8.180554046711246e-26
-0.693115234375,8.771180820772983e-26
-0.69305419921875,9.360172879403506e-26
-0.6929931640625,9.947430243744725e-26
-0.69293212890625,1.0532846050507188e-25
-0.69287109375,1.1116308391691865e-25
-0.69281005859375,1.169770247309638e-25
-0.6927490234375,1.227691296476447e-25
-0.69268798828125,1.2853826405204875e-25
-0.692626953125,1.342833351791143e-25
-0.69256591796875,1.4000331303902094e-25
-0.6925048828125,1.4569724787147632e-25
-0.69244384765625,1.513642831022995e-25
-0.6923828125,1.5700366304099118e-25
-0.69232177734375,1.626147348684584e-25
-0.6922607421875,1.681969448009047e-25
-0.69219970703125,1.7374982865994757e-25
-0.692138671875,1.7927299740925276e-25
-0.69207763671875,1.847661185152199e-25
-0.6920166015625,1.9022889423624216e-25
-0.69195556640625,1.9566103812613786e-25
-0.69189453125,2.0106225114310368e-25
-0.69183349609375,2.0643219877917944e-25
-0.6917724609375,2.1177049056451585e-25
-0.69171142578125,2.1707666316107625e-25
-0.691650390625,2.223501680478597e-25
-0.69158935546875,2.2759036452905697e-25
-0.6915283203125,2.327965184817985e-25
-0.69146728515625,2.379678069209949e-25
-0.69140625,2.431033281153044e-25
-0.69134521484375,2.482021166599726e-25
-0.6912841796875,2.5326316261948033e-25
-0.69122314453125,2.5828543361225426e-25
-0.691162109375,2.6326789853583207e-25
-0.69110107421875,2.6820955153360487e-25
-0.6910400390625,2.7310943479033734e-25
-0.69097900390625,2.77966658811897e-25
-0.69091796875,2.827804189943679e-25
-0.69085693359375,2.875500075056652e-25
-0.6907958984375,2.9227481978082244e-25
-0.69073486328125,2.9695435524982315e-25
-0.690673828125,3.0158821225796308e-25
-0.69061279296875,3.0617607748211264e-25
-0.6905517578125,3.107177104717336e-25
-0.69049072265625,3.1521292423165123e-25
-0.6904296875,3.196615629984818e-25
-0.69036865234375,3.240634785277093e-25
-0.6903076171875,3.2841850629822845e-25
-0.69024658203125,3.327264430453042e-25
-0.690185546875,3.3698702695539024e-25
-0.69012451171875,3.411999216992748e-25
-0.6900634765625,3.4536470525350027e-25
-0.69000244140625,3.4948086417738963e-25
-0.68994140625,3.5354779369094135e-25
-0.68988037109375,3.5756480355600437e-25
-0.6898193359375,3.615311294206384e-25
-0.68975830078125,3.6544594896345034e-25
-0.689697265625,3.6930840189126106e-25
-0.68963623046875,3.731176126150601e-25
-0.6895751953125,3.7687271427168725e-25
-0.68951416015625,3.805728726776691e-25
-0.689453125,3.842173088065925e-25
-0.68939208984375,3.8780531846687967e-25
-0.6893310546875,3.9133628802371454e-25
-0.68927001953125,3.948097052402793e-25
-0.689208984375,3.982251646032236e-25
-0.68914794921875,4.015823668218327e-25
-0.6890869140625,4.048811125350202e-25
-0.68902587890625,4.0812129060176297e-25
-0.68896484375,4.1130286167116797e-25
-0.68890380859375,4.144258380063335e-25
-0.6888427734375,4.174902607582812e-25
-0.68878173828125,4.204961760360584e-25
-0.688720703125,4.234436111907286e-25
-0.68865966796875,4.263325527180777e-25
-0.6885986328125,4.2916292708910755e-25
-0.68853759765625,4.319345856443364e-25
-0.6884765625,4.346472944477647e-25
-0.68841552734375,4.373007297029103e-25
-0.6883544921875,4.39894479004925e-25
-0.68829345703125,4.424280483567783e-25
-0.688232421875,4.449008745379507e-25
-0.68817138671875,4.473123420957242e-25
-0.6881103515625,4.4966180395737155e-25
-0.68804931640625,4.519486044456235e-25
-0.68798828125,4.541721033383258e-25
-0.68792724609375,4.563316995503924e-25
-0.6878662109375,4.584268530385577e-25
-0.68780517578125,4.60457103633235e-25
-0.687744140625,4.624220856839084e-25
-0.68768310546875,4.643215376505467e-25
-0.6876220703125,4.661553060725621e-25
-0.68756103515625,4.6792334367847325e-25
-0.6875,4.696257017458244e-25
-0.68743896484375,4.712625171599341e-25
-0.6873779296875,4.728339949345695e-25
-0.68731689453125,4.7434038722433535e-25
-0.687255859375,4.757819700674714e-25
-0.68719482421875,4.771590192309978e-25
-0.6871337890625,4.784717865844525e-25
-0.68707275390625,4.797204783964701e-25
-0.68701171875,4.809052368362902e-25
-0.68695068359375,4.820261257721826e-25
-0.6868896484375,4.830831217061113e-25
-0.68682861328125,4.840761103798494e-25
-0.686767578125,4.850048892537089e-25
-0.68670654296875,4.858691757116214e-25
-0.6866455078125,4.866686205083311e-25
-0.68658447265625,4.874028256647165e-25
-0.6865234375,4.880713657546505e-25
-0.68646240234375,4.88673811325952e-25
-0.6864013671875,4.892097530724386e-25
-0.68634033203125,4.896788253290319e-25
-0.686279296875,4.900807275023247e-25
-0.68621826171875,4.904152421704367e-25
-0.6861572265625,4.906822487832635e-25
-0.68609619140625,4.908817321536062e-25
-0.68603515625,4.91013785237933e-25
-0.68597412109375,4.910786060426738e-25
-0.6859130859375,4.910764888393196e-25
-0.68585205078125,4.910078102078406e-25
-0.685791015625,4.908730107340305e-25
-0.68572998046875,4.90672573442861e-25
-0.6856689453125,4.904070002435587e-25
-0.68560791015625,4.900767877794153e-25
-0.685546875,4.896824041110726e-25
-0.68548583984375,4.892242676126964e-25
-0.6854248046875,4.887027293301142e-25
-0.68536376953125,4.881180598453456e-25
-0.685302734375,4.874704414259989e-25
-0.68524169921875,4.86759965925393e-25
-0.6851806640625,4.859866385597782e-25
-0.68511962890625,4.851503873411017e-25
-0.68505859375,4.842510776100132e-25
-0.68499755859375,4.832885308111387e-25
-0.6849365234375,4.822625464029519e-25
-0.68487548828125,4.811729256071768e-25
-0.684814453125,4.800194955952201e-25
-0.68475341796875,4.788021326813171e-25
-0.6846923828125,4.775207831513237e-25
-0.68463134765625,4.761754804941551e-25
-0.6845703125,4.747663580162556e-25
-0.68450927734375,4.732936560902577e-25
-0.6844482421875,4.7175772360701165e-25
-0.68438720703125,4.701590135412302e-25
-0.684326171875,4.684980728891017e-25
-0.68426513671875,4.667755275682611e-25
-0.6842041015625,4.649920631680073e-25
-0.68414306640625,4.631484026826186e-25
-0.68408203125,4.612452825392028e-25
-0.68402099609375,4.592834283313941e-25
-0.6839599609375,4.572635316887654e-25
-0.68389892578125,4.551862296434369e-25
-0.683837890625,4.530520877088888e-25
-0.68377685546875,4.508615876658456e-25
-0.6837158203125,4.486151207725391e-25
-0.68365478515625,4.463129867955015e-25
-0.68359375,4.439553989137029e-25
-0.68353271484375,4.415424942008657e-25
-0.6834716796875,4.390743490619034e-25
-0.68341064453125,4.365509987057367e-25
-0.683349609375,4.339724594984104e-25
-0.68328857421875,4.313387528700429e-25
-0.6832275390625,4.286499293568483e-25
-0.68316650390625,4.259060913513859e-25
-0.68310546875,4.231074132103279e-25
-0.68304443359375,4.2025415752500225e-25
-0.6829833984375,4.173466865865434e-25
-0.68292236328125,4.143854683612746e-25
-0.682861328125,4.1137107661666237e-25
-0.68280029296875,4.083041851834831e-25
-0.6827392578125,4.0518555668678246e-25
-0.68267822265625,4.020160264051375e-25
-0.6826171875,3.9879648220601817e-25
-0.68255615234375,3.955278417370872e-25
-0.6824951171875,3.922110282159716e-25
-0.68243408203125,3.8884694624431474e-25
-0.682373046875,3.8543645907073853e-25
-0.68231201171875,3.819803686424969e-25
-0.6822509765625,3.7847939962100516e-25
-0.68218994140625,3.7493418830262767e-25
-0.68212890625,3.7134527709691878e-25
-0.68206787109375,3.677131148858889e-25
-0.6820068359375,3.64038063241193e-25
-0.68194580078125,3.6032040812959485e-25
-0.681884765625,3.565603764132469e-25
-0.68182373046875,3.5275815616783903e-25
-0.6817626953125,3.4891391961600916e-25
-0.68170166015625,3.450278473186121e-25
-0.681640625,3.4110015219242707e-25
-0.68157958984375,3.371311019323136e-25
-0.6815185546875,3.3312103851024083e-25
-0.68145751953125,3.290703935962116e-25
-0.681396484375,3.249796989863071e-25
-0.68133544921875,3.208495914187762e-25
-0.6812744140625,3.166808114894789e-25
-0.68121337890625,3.1247419672758346e-25
-0.68115234375,3.082306692362946e-25
-0.68109130859375,3.039512186256248e-25
-0.6810302734375,2.996368812413174e-25
-0.68096923828125,2.9528871691369106e-25
-0.680908203125,2.9090778459612978e-25
-0.68084716796875,2.864951183293177e-25
-0.6807861328125,2.820517049469769e-25
-0.68072509765625,2.775784648373461e-25
-0.6806640625,2.7307623689287854e-25
-0.68060302734375,2.6854576853364694e-25
-0.6805419921875,2.639877113900529e-25
-0.68048095703125,2.594026228955274e-25
-0.680419921875,2.547909736907555e-25
-0.68035888671875,2.501531603971676e-25
-0.6802978515625,2.4548952299944484e-25
-0.68023681640625,2.408003658048807e-25
-0.68017578125,2.360859807344884e-25
-0.68011474609375,2.3134667156343453e-25
-0.6800537109375,2.2658277767120317e-25
-0.67999267578125,2.2179469589062943e-25
-0.679931640625,2.169828991565146e-25
-0.67987060546875,2.121479508436018e-25
-0.6798095703125,2.072905139376155e-25
-0.67974853515625,2.0241135448815313e-25
-0.6796875,1.9751133912997486e-25
-0.67962646484375,1.925914268094553e-25
-0.6795654296875,1.8765265519513662e-25
-0.67950439453125,1.82696122565641e-25
-0.679443359375,1.7772296623558814e-25
-0.67938232421875,1.7273433878434184e-25
-0.6793212890625,1.677313834832537e-25
-0.67926025390625,1.627152103638393e-25
-0.67919921875,1.5768687433256192e-25
-0.67913818359375,1.5264735661645975e-25
-0.6790771484375,1.4759755062792999e-25
-0.67901611328125,1.4253825307616943e-25
-0.678955078125,1.3747016084226358e-25
-0.67889404296875,1.3239387379566264e-25
-0.6788330078125,1.27309903378151e-25
-0.67877197265625,1.2221868644098642e-25
-0.6787109375,1.1712060351048224e-25
-0.67864990234375,1.1201600039622664e-25
-0.6785888671875,1.0690521185768822e-25
-0.67852783203125,1.0178858592423572e-25
-0.678466796875,9.666650742466808e-26
-0.67840576171875,9.153941932871985e-26
-0.6783447265625,8.640784063299163e-26
-0.67828369140625,8.127237972735018e-26
-0.67822265625,7.613374244527471e-26
-0.67816162109375,7.099273431605755e-26
-0.6781005859375,6.585025687879341e-26
-0.67803955078125,6.070729827045344e-26
-0.677978515625,5.556491863739967e-26
-0.67791748046875,5.042423122742724e-26
-0.6778564453125,4.528638027400155e-26
-0.67779541015625,4.015251697450766e-26
-0.677734375,3.502377497780571e-26
-0.67767333984375,2.9901246825225075e-26
-0.6776123046875,2.4785962733542614e-26
-0.67755126953125,1.9678872970278135e-26
-0.677490234375,1.4580834859954967e-26
-0.67742919921875,9.492605186123978e-27
-0.6773681640625,4.414838436039718e-27
-0.67730712890625,-6.519090113033265e-28
-0.67724609375,-5.707169003027377e-27
-0.67718505859375,-1.0750546622921595e-26
-0.6771240234375,-1.5781700982877256e-26
-0.67706298828125,-2.0800322933013684e-26
-0.677001953125,-2.5806111010952535e-26
-0.67694091796875,-3.0798747054495113e-26
-0.6768798828125,-3.5777872923044796e-26
-0.67681884765625,-4.074306970724054e-26
-0.6767578125,-4.569384066011806e-26
-0.67669677734375,-5.062959886359656e-26
-0.6766357421875,-5.554966036432215e-26
-0.67657470703125,-6.045324319045837e-26
-0.676513671875,-6.533947231356254e-26
-0.67645263671875,-7.020739026881486e-26
-0.6763916015625,-7.505597281240666e-26
-0.67633056640625,-7.988414869757045e-26
-0.67626953125,-8.469082240779748e-26
-0.67620849609375,-8.947489850991342e-26
-0.6761474609375,-9.423530619571169e-26
-0.67608642578125,-9.897102256788877e-26
-0.676025390625,-1.036810933014055e-25
-0.67596435546875,-1.0836464946596806e-25
-0.6759033203125,-1.1302091952218622e-25
-0.67584228515625,-1.1764923578902722e-25
-0.67578125,-1.2224903500737903e-25
-0.67572021484375,-1.2681985297278321e-25
-0.6756591796875,-1.313613135615859e-25
-0.67559814453125,-1.3587311280578983e-25
-0.675537109375,-1.4035499896486893e-25
-0.67547607421875,-1.4480674977961167e-25
-0.6754150390625,-1.4922814825965614e-25
-0.67535400390625,-1.53618958443029e-25
-0.67529296875,-1.5797890256895746e-25
-0.67523193359375,-1.6230764102021574e-25
-0.6751708984375,-1.6660475622960506e-25
-0.67510986328125,-1.7086974150952789e-25
-0.675048828125,-1.7510199547374093e-25
-0.67498779296875,-1.793008223895441e-25
-0.6749267578125,-1.8346543844800108e-25
-0.67486572265625,-1.875949835901543e-25
-0.6748046875,-1.916885381984924e-25
-0.67474365234375,-1.957451436749913e-25
-0.6746826171875,-1.997638256972127e-25
-0.67462158203125,-2.037436187849242e-25
-0.674560546875,-2.0768359073191587e-25
-0.67449951171875,-2.115828654650259e-25
-0.6744384765625,-2.1544064298483587e-25
-0.67437744140625,-2.1925621521436026e-25
-0.67431640625,-2.230289768230731e-25
-0.67425537109375,-2.2675843039053457e-25
-0.6741943359375,-2.30444185607431e-25
-0.67413330078125,-2.3408595256414467e-25
-0.674072265625,-2.3768352952568915e-25
-0.67401123046875,-2.4123678591771795e-25
-0.6739501953125,-2.447456415310497e-25
-0.67388916015625,-2.4821004317528405e-25
-0.673828125,-2.516299401629514e-25
-0.67376708984375,-2.5500526007483886e-25
-0.6737060546875,-2.5833588624019924e-25
-0.67364501953125,-2.6162163826445473e-25
-0.673583984375,-2.6486225675709246e-25
-0.67352294921875,-2.6805739316392063e-25
-0.6734619140625,-2.71206605306673e-25
-0.67340087890625,-2.743093588951868e-25
-0.67333984375,-2.7736503492491516e-25
-0.67327880859375,-2.803729425241872e-25
-0.6732177734375,-2.8333233649376875e-25
-0.67315673828125,-2.862424385038083e-25
-0.673095703125,-2.8910246069661706e-25
-0.67303466796875,-2.9191163030187096e-25
-0.6729736328125,-2.946692138102676e-25
-0.67291259765625,-2.9737453927809564e-25
-0.6728515625,-3.0002701544463835e-25
-0.67279052734375,-3.0262614653350998e-25
-0.6727294921875,-3.0517154186326074e-25
-0.67266845703125,-3.0766291969931003e-25
-0.672607421875,-3.101001051201733e-25
-0.67254638671875,-3.1248302202397697e-25
-0.6724853515625,-3.14811679748325e-25
-0.67242431640625,-3.1708615509479746e-25
-0.67236328125,-3.193065708214662e-25
-0.67230224609375,-3.214730718755629e-25
-0.6722412109375,-3.2358580077291774e-25
-0.67218017578125,-3.256448735810476e-25
-0.672119140625,-3.2765035792815557e-25
-0.67205810546875,-3.2960225434056372e-25
-0.6719970703125,-3.315004820151766e-25
-0.67193603515625,-3.333448698714878e-25
-0.671875,-3.351351534168229e-25
-0.67181396484375,-3.3687097761391306e-25
-0.6717529296875,-3.3855190558685707e-25
-0.67169189453125,-3.401774326554866e-25
-0.671630859375,-3.417470048740167e-25
-0.67156982421875,-3.432600409831522e-25
-0.6715087890625,-3.4471595648345787e-25
-0.67144775390625,-3.4611418841170554e-25
-0.67138671875,-3.4745421936068006e-25
-0.67132568359375,-3.48735599326854e-25
-0.6712646484375,-3.4995796409894243e-25
-0.67120361328125,-3.5112104910375413e-25
-0.671142578125,-3.5222469789456544e-25
-0.67108154296875,-3.532688647832029e-25
-0.6710205078125,-3.5425361146282584e-25
-0.67095947265625,-3.5517909782343995e-25
-0.6708984375,-3.5604556750503677e-25
-0.67083740234375,-3.5685332904422386e-25
-0.6707763671875,-3.5760273373036853e-25
-0.67071533203125,-3.582941514817373e-25
-0.670654296875,-3.589279461690841e-25
-0.67059326171875,-3.595044518467203e-25
-0.6705322265625,-3.6002395129739713e-25
-0.67047119140625,-3.60486658160694e-25
-0.67041015625,-3.608927037025663e-25
-0.67034912109375,-3.612421290093484e-25
-0.6702880859375,-3.6153488306906894e-25
-0.67022705078125,-3.6177082685411764e-25
-0.670166015625,-3.619497431652859e-25
-0.67010498046875,-3.62071351655397e-25
-0.6700439453125,-3.6213532814506814e-25
-0.66998291015625,-3.6214132708822306e-25
-0.669921875,-3.6208900585932602e-25
-0.66986083984375,-3.61978049424936e-25
-0.6697998046875,-3.6180819393977435e-25
-0.66973876953125,-3.615792478701894e-25
-0.669677734375,-3.6129110939342375e-25
-0.66961669921875,-3.609437790406562e-25
-0.6695556640625,-3.605373668326848e-25
-0.66949462890625,-3.600720934816948e-25
-0.66943359375,-3.5954828558344184e-25
-0.66937255859375,-3.589663650788518e-25
-0.6693115234375,-3.583268336022397e-25
-0.66925048828125,-3.576302526364307e-25
-0.669189453125,-3.5687722064166253e-25
-0.66912841796875,-3.5606834850528524e-25
-0.6690673828125,-3.552042347576457e-25
-0.66900634765625,-3.5428544201469105e-25
-0.6689453125,-3.533124760345451e-25
-0.66888427734375,-3.5228576862197084e-25
-0.6688232421875,-3.5120566538690306e-25
-0.66876220703125,-3.5007241907742464e-25
-0.668701171875,-3.4888618887731317e-25
-0.66864013671875,-3.4764704570734733e-25
-0.6685791015625,-3.4635498321365887e-25
-0.66851806640625,-3.4500993379145404e-25
-0.66845703125,-3.4361178869433503e-25
-0.66839599609375,-3.421604210384816e-25
-0.6683349609375,-3.4065571033923823e-25
-0.66827392578125,-3.3909756712788396e-25
-0.668212890625,-3.3748595619089884e-25
-0.66815185546875,-3.358209170555766e-25
-0.6680908203125,-3.3410258050861783e-25
-0.66802978515625,-3.323311801687041e-25
-0.66796875,-3.3050705842597817e-25
-0.66790771484375,-3.2863066639487867e-25
-0.6678466796875,-3.267025578802242e-25
-0.66778564453125,-3.2472337771035566e-25
-0.667724609375,-3.2269384512442587e-25
-0.66766357421875,-3.206147331934124e-25
-0.6676025390625,-3.1848684548879325e-25
-0.66754150390625,-3.1631099137636976e-25
-0.66748046875,-3.1408796139335833e-25
-0.66741943359375,-3.1181850416364555e-25
-0.6673583984375,-3.095033062137965e-25
-0.66729736328125,-3.071429758830992e-25
-0.667236328125,-3.0473803227740207e-25
-0.66717529296875,-3.0228889992026406e-25
