t,h
-0.699951171875,-6.733320636564041e-25
-0.69989013671875,-6.685476384483343e-25
-0.6998291015625,-6.6368054426526615e-25
-0.69976806640625,-6.58731642380721e-25
-0.69970703125,-6.537019326209854e-25
-0.69964599609375,-6.485925354658312e-25
-0.6995849609375,-6.434046675413688e-25
-0.69952392578125,-6.381396119599927e-25
-0.699462890625,-6.327986852726828e-25
-0.69940185546875,-6.273832030000158e-25
-0.6993408203125,-6.218944457948016e-25
-0.69927978515625,-6.1633362825077545e-25
-0.69921875,-6.107018722147955e-25
-0.69915771484375,-6.05000186189504e-25
-0.6990966796875,-5.9922945205076985e-25
-0.69903564453125,-5.933904198654493e-25
-0.698974609375,-5.874837111118466e-25
-0.69891357421875,-5.815098301014331e-25
-0.6988525390625,-5.754691829110083e-25
-0.69879150390625,-5.6936210268387375e-25
-0.69873046875,-5.631888797789225e-25
-0.69866943359375,-5.569497949550612e-25
-0.6986083984375,-5.506451535978829e-25
-0.69854736328125,-5.442753189320992e-25
-0.698486328125,-5.378407422245148e-25
-0.69842529296875,-5.313419881618709e-25
-0.6983642578125,-5.24779753877007e-25
-0.69830322265625,-5.181548804762241e-25
-0.6982421875,-5.114683563702655e-25
-0.69818115234375,-5.047213122011149e-25
-0.6981201171875,-4.979150076605843e-25
-0.69805908203125,-4.910508109816642e-25
-0.697998046875,-4.84130172322842e-25
-0.69793701171875,-4.771545926306913e-25
-0.6978759765625,-4.701255898383184e-25
-0.69781494140625,-4.630446644158829e-25
-0.69775390625,-4.559132663296605e-25
-0.69769287109375,-4.487327653820116e-25
-0.6976318359375,-4.415044267027086e-25
-0.69757080078125,-4.342293928546141e-25
-0.697509765625,-4.2690867362102175e-25
-0.69744873046875,-4.195431440825713e-25
-0.6973876953125,-4.121335510964882e-25
-0.69732666015625,-4.0468052778660015e-25
-0.697265625,-3.9718461517540835e-25
-0.69720458984375,-3.8964628965969074e-25
-0.6971435546875,-3.8206599468304397e-25
-0.69708251953125,-3.7444417470557577e-25
-0.697021484375,-3.667813094347662e-25
-0.69696044921875,-3.590779462634119e-25
-0.6968994140625,-3.513347289693373e-25
