t,h
-0.699951171875,3.4026001571616516e-24
-0.69989013671875,-1.6035716921821108e-22
-0.6998291015625,-3.156322144704449e-23
-0.69976806640625,1.2675758107350685e-22
-0.69970703125,4.291412868016667e-23
-0.69964599609375,-3.888322905976914e-24
-0.6995849609375,4.718737599302769e-23
-0.69952392578125,-6.816203510185214e-23
-0.699462890625,1.0315724868000134e-22
-0.69940185546875,9.960764265129737e-23
-0.6993408203125,-2.5772172980135135e-23
-0.69927978515625,8.250748565609896e-23
-0.69921875,8.441591518704633e-24
-0.69915771484375,8.518764762123489e-24
-0.6990966796875,1.3910885185529217e-24
-0.69903564453125,1.2538214429638195e-22
-0.698974609375,-8.911815867128215e-23
-0.69891357421875,-1.417801180072751e-23
-0.6988525390625,-1.124377539817035e-23
-0.69879150390625,-5.0870968656293016e-24
-0.69873046875,-1.0447323835225903e-22
-0.69866943359375,7.772623309776308e-23
-0.6986083984375,-7.329780997988808e-24
-0.69854736328125,-1.043370185052677e-23
-0.698486328125,-1.1872939011047956e-22
-0.69842529296875,4.226318877187483e-23
-0.6983642578125,-8.45934592186193e-23
-0.69830322265625,-9.138446664263221e-23
-0.6982421875,3.4228323596652235e-23
-0.69818115234375,5.123224623111522e-23
-0.6981201171875,-1.187140715338542e-22
-0.69805908203125,1.1972445759872886e-22
-0.697998046875,-1.1413748446945297e-22
-0.69793701171875,-5.608200587256998e-23
-0.6978759765625,4.9040949340308265e-23
-0.69781494140625,-7.239247411331268e-23
-0.69775390625,-1.1206113241112151e-22
-0.69769287109375,1.5808511155051201e-22
-0.6976318359375,5.859241614179695e-23
-0.69757080078125,5.796142677701967e-24
-0.697509765625,-2.692165741605875e-23
-0.69744873046875,-1.700321806316778e-22
-0.6973876953125,1.0380115278469959e-23
-0.69732666015625,-5.593295214058488e-23
-0.697265625,-6.117147243886595e-23
-0.69720458984375,-6.30216934572258e-23
-0.6971435546875,1.1201860895636048e-23
-0.69708251953125,-3.219959731929407e-23
-0.697021484375,-7.347858016888052e-23
-0.69696044921875,1.3072560016976474e-23
-0.6968994140625,6.448117374660818e-23
-0.69683837890625,-1.9011255223123142e-23
-0.69677734375,7.002997214245986e-23
-0.69671630859375,2.748382560232808e-23
-0.6966552734375,-1.123693941071166e-22
-0.69659423828125,-5.877334625632027e-24
-0.696533203125,-5.2836279528672156e-23
-0.69647216796875,6.628606420317042e-23
-0.6964111328125,7.440265757664606e-23
-0.69635009765625,-7.18409305591678e-23
-0.6962890625,-7.441286849547893e-23
-0.69622802734375,2.713332054188776e-23
-0.6961669921875,-1.5722860445535589e-22
-0.69610595703125,1.9133309258907785e-23
-0.696044921875,1.3777698481639147e-22
-0.69598388671875,1.058033596033464e-23
-0.6959228515625,5.568633629976065e-23
-0.69586181640625,-1.652072250998402e-22
-0.69580078125,-1.6597067037638748e-22
-0.69573974609375,-4.8116498588596594e-23
-0.6956787109375,-9.284494124706525e-23
-0.69561767578125,3.742446111591094e-25
-0.695556640625,-6.931067280583118e-23
-0.69549560546875,3.711247919173419e-23
-0.6954345703125,-1.0991587752407228e-22
-0.69537353515625,-5.588892944585453e-23
-0.6953125,-2.9721216427701695e-23
-0.69525146484375,-6.601044329465824e-23
-0.6951904296875,-2.8443089922688214e-23
-0.69512939453125,1.9267913028649794e-24
-0.695068359375,2.5185234406048916e-22
-0.69500732421875,-6.534903827192735e-23
-0.6949462890625,-8.087690193195464e-23
-0.69488525390625,-1.4623041204138651e-22
-0.69482421875,6.045767419550746e-23
-0.69476318359375,-1.7297251543147248e-23
-0.6947021484375,-3.902161372779639e-23
-0.69464111328125,-1.0071736960639737e-22
-0.694580078125,-1.1311930329997885e-22
-0.69451904296875,7.792325556243764e-23
-0.6944580078125,4.8733997539541944e-23
-0.69439697265625,6.991104749277578e-23
-0.6943359375,2.0485125058369115e-23
-0.69427490234375,1.508731025560896e-23
-0.6942138671875,2.3220770966688585e-23
-0.69415283203125,9.620109321804328e-23
-0.694091796875,-7.236394960878028e-23
-0.69403076171875,-1.0062590847316819e-22
-0.6939697265625,-5.400107439575839e-23
-0.69390869140625,5.294188049535979e-23
-0.69384765625,-8.887218524751666e-23
